Product Name,Product Score,Cancer Concern,Allergies & Immunotoxicity,Developmental and Reproductive Toxicity,Use Restrictions,Other Concerns
COLLAGEN EXTRACT,1,LOW,LOW,LOW,LOW,
GARDENIA FLORIDA EXTRACT,1,LOW,LOW,LOW,LOW,
MALPIGHIA EMARGINATA (ACEROLA) SEED EXTRACT,1,LOW,LOW,LOW,LOW,
OCTYLDODECYL ISOSTEARATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
ROSA CANINA SEED POWDER,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
TERPINYL ACETATE,1,LOW,LOW,LOW,LOW,
"SPARTEINE, (-)-",1,LOW,LOW,LOW,LOW,
Cedarwood atlas extravt (cedrus atlantica),1,LOW,LOW,LOW,LOW,
POLYGLYCERYL-4 ESTERS,1,LOW,LOW,LOW,LOW,
HYDROGENATED GLYCERYL ABIETATE,1,LOW,LOW,LOW,LOW,
C4-24 ALKYL DIMETHICONE/ DIVINYLDIMETHICONE CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
LAURYL/ MYRISTYL POLYRICINOLEATE,1,LOW,LOW,LOW,LOW,
BUDDLEJA OFFICINALIS FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
PEG/ PPG-15/ 15 ALLYL ETHER ACETATE,1,LOW,LOW,LOW,LOW,
Jasminum Sambac (Jasmine) Leaf Cell Extract,1,LOW,LOW,LOW,LOW,
(Trifolium Pratense (Clover)/ Vigna Radiata) Sprout Extract,1,LOW,LOW,LOW,LOW,Endocrine disruption (low)
1-DIMETHICONE,1,LOW,LOW,LOW,LOW,
ASPARAGINE,1,LOW,LOW,LOW,LOW,
C14-16 OLEFIN SULFONATE,1,LOW,LOW,LOW,LOW,
CHOLETH-24,1,LOW,LOW,LOW,LOW,Contamination concerns (high)
CITRUS JAPONICA FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
COCOATE,1,LOW,LOW,LOW,LOW,
DISPERSE BLACK 9,3,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
ECHINACEA ANGUSTIFOLIA (CONEFLOWER),1,LOW,LOW,LOW,LOW,
ISOSTEARYL GLYCOLATE,1,LOW,LOW,LOW,LOW,
LAURETH SULFOSUCCINATE,2,LOW,LOW,LOW,LOW,Contamination concerns (high)
MEDICAGO SATIVA (ALFALFA) JUICE,1,LOW,LOW,LOW,LOW,
PANAX GINSENG (GINSENG),1,LOW,MODERATE,LOW,LOW,
POLYGLYCERLY 3 BEESWAX,1,LOW,LOW,LOW,LOW,
RAVENSARA AROMATICA OIL,1,LOW,LOW,LOW,LOW,
SANGUISORBA OFFICINALIS (GREAT BURNET) ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
VACCINIUM MACROCARPON (AMERICAN CRANBERRY) OIL,1,LOW,LOW,LOW,LOW,
C10-12 ALKANE/ CYCLOALKANE,7,MODERATE,LOW,LOW,HIGH,"Use restrictions (high), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), and Occupational hazards (high)"
GLYCERYL OLIVATE,1,LOW,LOW,LOW,LOW,
ISOPROPYLIDENEDIPHENYL BISOXYHYDROXYPROPYL METHACRYLATE,1,LOW,LOW,LOW,LOW,
MORINDA CITRIFOLIA SEED OIL,1,LOW,LOW,LOW,LOW,
SAPONARIA OFFICINALIS LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
CEDRUS DEODARA (CEDARWOOD) OIL,1,LOW,LOW,LOW,LOW,
PUNICA GRANATUM JUICE EXTRACT,1,LOW,LOW,LOW,LOW,
PEUCEDANUM OSTRUTHIUM (MASTERWORT) EXTRACT,1,LOW,LOW,LOW,LOW,
LAWSONIA INERMIS (HENNA) POWDER,1,LOW,LOW,LOW,HIGH,Use restrictions (high)
HALIDRYS SILIQUOSA EXTRACT,1,LOW,LOW,LOW,LOW,
COCOYL PROLINE,1,LOW,LOW,LOW,LOW,
PEG-40/ PPG-8 Methylaminopropyl / Hydroxypropyl Dimethicone Copolymer,1,LOW,LOW,LOW,LOW,
COCONUT OIL POLYGLYCERYL-6 ESTERS,1,LOW,LOW,LOW,LOW,Use restrictions (low)
DIMETHICONOL/ PROPYLSILSESQUIOXANE/ SILICATE CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
DICAPRYL SUCCINATE,1,LOW,LOW,LOW,LOW,
Bis-Dioctadecylamide Dimer Dilinoleic Acid/ Ethylenediamine Copolymer,1,LOW,LOW,LOW,LOW,
SCHISANDRA CHINENSIS FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,Endocrine disruption (low)
AFRICAN BUTTER,1,LOW,LOW,LOW,LOW,
AMMONIUM GLYCOLATE,1,LOW,LOW,LOW,HIGH,Use restrictions (high)
ASPARTAME,1,LOW,LOW,LOW,LOW,
COLA NITIDA (KOLA) SEED EXTRACT,1,LOW,LOW,LOW,LOW,
DIETHYLHEXYL MALEATE,6,LOW,HIGH,LOW,HIGH,Use restrictions (high)
FERROCYANIDE,3,LOW,LOW,LOW,LOW,Endocrine disruption (low) and Non-reproductive organ system toxicity (high)
LAWSONIA INERMIS (RED HENNA),1,LOW,LOW,LOW,LOW,
METHANOL,3,LOW,LOW,MODERATE,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (moderate), and Occupational hazards (high)"
MYROXYLON PEREIRAE (PERU BALSAM),4,LOW,HIGH,LOW,LOW,"Endocrine disruption (low), Ecotoxicology (low), and Occupational hazards (high)"
PEG-15 COCOPOLYAMINE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
PERSEA GRATISSIMA (AVOCADO) EXTRACT,1,LOW,LOW,LOW,LOW,
PROPYLENE GLYCOL DIETHYLHEXANOATE,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
PRUNUS AFRICANA (AFRICAN CHERRY) BARK EXTRACT,1,LOW,LOW,LOW,LOW,
SPIRULINA MAXIMA (ALGAE),1,LOW,LOW,LOW,LOW,
ACID RED 14,2,LOW,MODERATE,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (low), and Biochemical or cellular level changes (low)"
HEPTANE,1,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (low), Ecotoxicology (low), Irritation (skin, eyes, or lungs) (high), and Occupational hazards (high)"
HETEROTHECA INULOIDES FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
PEG-3 SORBITAN OLEATE,4,LOW,MODERATE,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
PEG-60,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate) and Contamination concerns (high)
PEI-10,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate) and Ecotoxicology (low)
SAPINDUS TRIFOLIATUS FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
DIMETHICONE/ DIVINYLDIMETHICONE/ SILSESQUIOXANE CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
NONANAL,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
EUCALYPTUS RADIATA OIL,1,LOW,LOW,LOW,LOW,
METHYLCYCLOPENTENOLONE,1,LOW,LOW,LOW,LOW,
NONANE,1,LOW,LOW,LOW,LOW,
TRIDECETH-9 PG-AMODIMETHICONE,1,LOW,LOW,LOW,LOW,
SANTALUM SPICATA (SANDALWOOD) EXTRACT,1,LOW,LOW,LOW,LOW,
HYDROLYZED COIX LACRYMA-JOBI MA-YUEN SEED EXTRACT,1,LOW,LOW,LOW,LOW,
BRASSICA CAMPESTRIS (RAPESEED) STEROL,1,LOW,LOW,LOW,LOW,
CALCITE,1,LOW,LOW,LOW,LOW,
ELETTARIA CARDAMOMUM (CARDAMOM),1,LOW,LOW,LOW,LOW,
CEDAR OIL,1,LOW,LOW,LOW,LOW,
COCOYL SARCOSINE,1,LOW,LOW,LOW,LOW,"Enhanced skin absorption, Use restrictions (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
GELIDIELLA ACEROSA (RED MAPLEWEED) EXTRACT,1,LOW,LOW,LOW,LOW,
GLYCERYL MYRISTATE,1,LOW,LOW,LOW,MODERATE,"Enhanced skin absorption, Use restrictions (moderate), and Irritation (skin, eyes, or lungs) (moderate)"
JUGLANS NIGRA (BLACK WALNUT),1,LOW,LOW,LOW,LOW,
LACTITOL,1,LOW,LOW,LOW,LOW,
LIDOCAINE,3,LOW,LOW,LOW,HIGH,Use restrictions (high)
POLYGLYCERYL-4 OLEYL ETHER,1,LOW,LOW,LOW,LOW,
SODIUM ACRYLATES/ C10-30 ALKYL ACRYLATE CROSSPOLYMER,1,LOW,LOW,LOW,LOW,Use restrictions (low) and Contamination concerns (high)
SODIUM ACRYLOYLDIMETHYLTAURATE COPOLYMER,1,LOW,LOW,LOW,LOW,
SODIUM DEXTRAN SULFATE,1,LOW,LOW,LOW,LOW,
YUCCA GLAUCA (SOAPWEED) ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
ACRYLATES/ ETHYLHEXYL ACRYLATE CROSSPOLYMER,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
BUTYL AVOCADATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
COFFEE EKISU,1,LOW,LOW,LOW,LOW,
DECANE,1,LOW,LOW,LOW,LOW,
EQUISETUM GIGANTEUM EXTRACT,1,LOW,LOW,LOW,LOW,
FRAGARIA VESCA (STRAWBERRY) FRUIT,1,LOW,LOW,LOW,LOW,
HIBISCUS SYRIACUS BARK EXTRACT,1,LOW,LOW,LOW,LOW,
MYOSOTIS SYLVATICA EXTRACT,1,LOW,LOW,LOW,LOW,
NELUMBO NUCIFERA FLOWER WATER,1,LOW,LOW,LOW,LOW,
PEG/ PPG-25/ 25 DIMETHICONE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
PPG-5-LAURETH-5,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
TILIA TOMENTOSA EXTRACT,1,LOW,LOW,LOW,LOW,
VINCA MAJOR EXTRACT,1,LOW,LOW,LOW,LOW,
PARSLEY,1,LOW,LOW,LOW,LOW,
METHYLENEDIOXYPHENYL METHYLPROPANAL,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
OCIMUM CANUM HERB EXTRACT,1,LOW,LOW,LOW,LOW,
BASIC RED 1:1,1,LOW,LOW,LOW,LOW,
HELIANTHUS ANNUUS SEED CERA,1,LOW,LOW,LOW,LOW,
PIPER NIGRUM SEED OIL,1,LOW,LOW,LOW,LOW,
"1-NAPHTHALENESULFONIC ACID, 4-((2-HYDROXY-6-SULFO-1-NAPHTHALENYL)AZO)-, DISODIUM SALT",1,LOW,LOW,LOW,LOW,
CANDELILLA/ JOJOBA/ RICE BRAN POLYGLYCERYL-3 ESTERS,1,LOW,LOW,LOW,LOW,Use restrictions (low)
CASSIA HYDROXYPROPYLTRIMONIUM CHLORIDE,1,LOW,LOW,LOW,LOW,
POLYGLYCERYL-4 CAPRYLATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
POLYGLYCERYL-6 PALMITATE/ SUCCINATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
VIBRIO ALGINOLYTICUS FERMENT FILTRATE,4,LOW,LOW,LOW,LOW,
ETLINGERA ELATIOR FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
ACER RUBRUM BARK EXTRACT,1,LOW,LOW,LOW,LOW,
HYDROGENATED SUNFLOWER SEED OIL GLYCERYL ESTERS,1,LOW,LOW,LOW,LOW,
BETULA PENDULA SAP,1,LOW,LOW,LOW,LOW,
ADENOSINE PHOSPHATE,1,LOW,LOW,LOW,LOW,
CALAMINE POWDER,1,LOW,LOW,LOW,LOW,
DIMETHICONOL BEHENATE,1,LOW,LOW,LOW,LOW,
DIMETHICONOL CYSTEINE,1,LOW,LOW,LOW,LOW,
GALIUM APARINE (CLEAVERS) EXTRACT,1,LOW,LOW,LOW,LOW,
GLYCINE SOJA (SOYBEAN) WAX,1,LOW,LOW,LOW,LOW,
L-ERGOTHIONEINE,1,LOW,LOW,LOW,LOW,
MACADAMIA TERNIFOLIA (MACADAMIA),1,LOW,LOW,LOW,LOW,
MYRTUS COMMUNIS (GREEN MYRTLE) LEAF OIL,1,LOW,LOW,LOW,LOW,
NELUMBO NUCIFERA (SACRED WATER LOTUS),1,LOW,LOW,LOW,LOW,
NONOXYNOL-12,5,LOW,LOW,LOW,LOW,"Endocrine disruption (moderate), Persistence and bioaccumulation (moderate), and Contamination concerns (high)"
4-HYDROXYBENZOIC ACID,3,LOW,LOW,LOW,LOW,"Use restrictions (low), Endocrine disruption (moderate), and Multiple, additive exposure sources (low)"
DAEMONOROPS DRACO EXTRACT,1,LOW,LOW,LOW,LOW,
FLUORO C2-8 ALKYLDIMETHICONE,4,LOW,LOW,LOW,LOW,Persistence and bioaccumulation (moderate)
GLYCERETH-12,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
HORDEUM VULGARE LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
ISOPHORONE DIAMINE/ ISOPHTHALIC ACID/ TRIMETHYLOLPROPANE COPOLYMER,1,LOW,LOW,LOW,LOW,
PEG-70 MANGO GLYCERIDES,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
RUBUS IDAEUS (RASPBERRY) JUICE,1,LOW,LOW,LOW,LOW,
SODIUM COCETH SULFATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
SODIUM DIETHYLAMINOPROPYL COCOASPARTAMIDE,1,LOW,LOW,LOW,LOW,
SODIUM COCOGLUCOSIDE TARTRATE,1,LOW,LOW,LOW,LOW,
SOLANUM LYCOCARPUM (FRUIT FOR WOLVES) FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
STEARYL PHOSPHATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
PALMITOYL CARNITINE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
PAPAVER SOMNIFERUM SEED,1,LOW,LOW,LOW,LOW,
PASSIFLORA LAURIFOLIA FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) PROTEIN,1,LOW,LOW,LOW,LOW,
SALIX ALBA (WHITE WILLOW) BARK WATER,1,LOW,LOW,LOW,LOW,
delta-DODECALACTONE,1,LOW,LOW,LOW,LOW,
ARTHROSPIRA EXTRACT,1,LOW,LOW,LOW,LOW,
AZADIRACHTA INDICA BARK EXTRACT,1,LOW,LOW,LOW,LOW,
MORINGA OLEIFERA LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
ACRYLATES/ C10 ALKYL ACRYLATES CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
ANANAS SATIVUS (PINEAPPLE),1,LOW,LOW,LOW,LOW,
ASPARAGUS OFFICINALIS (ASPARAGUS) STEM EXTRACT,1,LOW,LOW,LOW,LOW,
BOSWELLIA OLIBANUM (OLIBANUM) OIL,1,LOW,LOW,LOW,LOW,
CARTHAMNUS TINCTORIUS (SAFFLOWER) EXTRACT,1,LOW,LOW,LOW,LOW,
DIOSPYROS KAKI (PERSIMMON) FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
MAGNESIUM TRISILICATE,1,LOW,LOW,LOW,LOW,
METHACRYLATE COPOLYMER,1,LOW,LOW,LOW,LOW,
PEG-6 ISOSTEARATE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
PEG-8 CAPRYLIC/ CAPRIC GLYCERIDES,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
PYRIDOXINE DIPALMITATE,1,LOW,LOW,LOW,LOW,
SERENOA REPENS (SAW PALMETTO) FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
TRISODIUM SULFOSUCCINATE,1,LOW,LOW,LOW,LOW,
TRITICUM VULGARE (WHEAT) FLOUR LIPIDS,1,LOW,LOW,LOW,LOW,
CINNAMOMUM CAMPHORA (CAMPHOR) LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
CUCURBITA PEPO (PUMPKIN) POWDER,1,LOW,LOW,LOW,LOW,
DIMETHYLSILANOL HYALURONATE,1,LOW,LOW,LOW,LOW,
LIPPIA CITRIODORA FLOWER EXTRACT,6,LOW,HIGH,LOW,HIGH,Use restrictions (high)
OCTYLDODECETH-25,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
PERFLUOROPERHYDROPHENANTHRENE,0,MODERATE,HIGH,HIGH,HIGH,"Use restrictions (high), Endocrine disruption (moderate), Persistence and bioaccumulation (high), and Non-reproductive organ system toxicity (moderate)"
POLYDODECANAMIDEAMINIUM TRIAZADIPHENYLETHENESULFONATE,1,LOW,LOW,LOW,LOW,
PONGAMIA PINNATA SEED EXTRACT,1,LOW,LOW,LOW,LOW,
TERMINALIA ARJUNA EXTRACT,1,LOW,LOW,LOW,LOW,
CYCLOPIA INTERMEDIA LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
TANACETUM ANNUUM (BLUE TANSY),1,LOW,LOW,LOW,LOW,
SAPONIFIED CARTHAMNUS TINCTORIUS (SAFFLOWER) OIL,1,LOW,LOW,LOW,LOW,
DISPERSE BLUE 377,1,LOW,LOW,LOW,LOW,
GERANIUM MACRORRHIZUM HERB EXTRACT,1,LOW,LOW,LOW,LOW,
4-METHYL-3-DECEN-5-OL,2,LOW,MODERATE,LOW,LOW,"Irritation (skin, eyes, or lungs) (low)"
ENTADA PHASEOLOIDES BARK/ SEED EXTRACT,1,LOW,LOW,LOW,LOW,
TETRAHYDROFURAN,7,MODERATE,LOW,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (high)"
Glucose & Glucose Oxidase & Lactoperoxidase,1,LOW,LOW,LOW,LOW,
ADANSONIA DIGITATA (BAOBAB) EXTRACT,1,LOW,LOW,LOW,LOW,
HYDROLYZED PLUKENETIA VOLUBILIS SEED EXTRACT,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low)
3-GLYCERYL ASCORBATE,1,LOW,MODERATE,LOW,LOW,
ACRYLAMIDE/ AMMONIUM ACRYLATE COPOLYMER,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
DIISOSTEAROYL TRIMETHYLOLPROPANE SILOXY SILICATE,1,LOW,LOW,LOW,LOW,
HESPERETIN LAURATE,1,LOW,LOW,LOW,LOW,
HYDROGENATED STEARYL OLIVE ESTER,1,LOW,LOW,LOW,LOW,
SODIUM RIBOFLAVIN PHOSPHATE,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
SODIUM SILICOALUMINATE,1,LOW,LOW,LOW,LOW,
VITIS VINIFERA (GRAPE) SEED POLYPHENOLS,1,LOW,LOW,LOW,LOW,
ALOE ANDONGENSIS EXTRACT,1,MODERATE,LOW,LOW,LOW,Use restrictions (low)
AMMONIUM COCOYL ISETHIONATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
CAPPARIS SPINOSA FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
CAPRYLIC ALCOHOL,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
CATALASE,3,LOW,LOW,LOW,HIGH,Use restrictions (high)
CISTUS MONSPELIENSIS EXTRACT,1,LOW,LOW,LOW,LOW,
CITRUS GRANDIS (GRAPEFRUIT) JUICE,1,LOW,LOW,LOW,MODERATE,"Use restrictions (moderate), Multiple, additive exposure sources (low), and Irritation (skin, eyes, or lungs) (low)"
CLITORIA TERNATEA FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
HAMAMELIS VIRGINIANA FLOWER WATER,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
MIPA-BORATE,7,LOW,LOW,MODERATE,HIGH,"Use restrictions (high), Endocrine disruption (moderate), Non-reproductive organ system toxicity (low), and Multiple, additive exposure sources (low)"
PAPAVER (POPPY) SEEDS,1,LOW,LOW,LOW,LOW,
PENTAERYTHRITYL ROSINATE,1,LOW,LOW,LOW,LOW,
PENTAERYTHRITYL TETRASTEARATE,1,LOW,LOW,LOW,LOW,
POLYSACCHARIDES,1,LOW,LOW,LOW,LOW,
SCLAREOLIDE,1,LOW,LOW,LOW,LOW,
SODIUM ACRYLATES/ ACRYLOYLDIMETHYL TAURATE COPOLYMER,1,LOW,LOW,LOW,LOW,
ACRYLAMIDE/ AMMONIUM ACRYLATE COPOLYMER,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
AMYL ACETATE,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (high)"
LACTOBACILLUS/ ACEROLA CHERRY FERMENT,1,LOW,LOW,LOW,LOW,
MAGNOLIA KOBUS BARK EXTRACT,1,LOW,LOW,LOW,LOW,
MANGIFERA INDICA LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
PEG-4 POLYGLYCERYL-2 STEARATE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
PEG-6 COCAMIDE,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
PEG-6 METHYL ETHER DIMETHICONE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
POTENTILLA ANSERINA EXTRACT,1,LOW,LOW,LOW,LOW,
TETRADECENE,1,LOW,LOW,LOW,LOW,
"PANTHENOL, DL-",1,LOW,LOW,LOW,LOW,
PINENE,1,LOW,LOW,LOW,LOW,
ACACIA FARNESIANA FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
APIUM GRAVEOLENS RAPACCUM SEED EXTRACT,1,LOW,LOW,LOW,LOW,
CINNAMOMUM CAMPHORA LINALOOLIFERUM WOOD OIL,1,LOW,LOW,LOW,HIGH,Use restrictions (high)
VALERIANA OFFICINALIS COLLINA ROOT EXTRAXT,1,LOW,LOW,LOW,LOW,
ECKLONIA CAVA EXTRACT,1,LOW,LOW,LOW,LOW,
HYDROGENATED HEMP SEED OIL,1,LOW,LOW,LOW,LOW,
OPUNTIA TUNA FLOWER/ STEM EXTRACT,1,LOW,LOW,LOW,LOW,
SCHIZANDRA CHINENSIS SEED EXTRACT,1,LOW,LOW,LOW,LOW,
SHEA BUTTER GLYCERETH-8 ESTERS,1,LOW,LOW,LOW,LOW,
PHYTOSTERYL SUNFLOWERSEEDATE,1,LOW,LOW,LOW,LOW,
JASMINE SAMBAC OIL,3,LOW,MODERATE,LOW,MODERATE,Use restrictions (moderate)
OLIGOPEPTIDE 24,1,LOW,LOW,LOW,LOW,
DIHYDROXY METHYLCHROMONE,1,LOW,LOW,LOW,LOW,
FLUORESCENT BRIGHTENER 318,1,LOW,LOW,LOW,LOW,
PICEA MARIANA BARK EXTRACT,1,LOW,LOW,LOW,LOW,
SH-OLIGOPEPTIDE-2,1,LOW,LOW,LOW,LOW,
HYDROGENATED SUNFLOWER SEED OIL POLYGLYCERYL-3 ESTERS,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (low)"
POLYGLYCERYL-3 LACTATE/ LAURATE,1,LOW,LOW,LOW,LOW,
CALCIUM ACETATE,1,LOW,LOW,LOW,LOW,
COAL TAR,0,HIGH,MODERATE,LOW,HIGH,"Use restrictions (high), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (high), Ecotoxicology (low), and Contamination concerns (high)"
CYCLOPENTADECANONE,3,LOW,LOW,LOW,MODERATE,"Use restrictions (moderate), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
MALVA SYLVESTRIS (COMMON MALLOW),1,LOW,LOW,LOW,LOW,
METHOSULFATE,1,LOW,LOW,LOW,LOW,
PEG-6 CAPRYLIC/ CAPRIC GLYCERIDE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) EXTRACT,1,LOW,LOW,LOW,LOW,
PUNICA GRANATUM (POMEGRANATE) SEED POWDER,1,LOW,LOW,LOW,LOW,
ROSA CANINA (ROSE HIPS) INFUSION,1,LOW,LOW,LOW,LOW,
SAXIFRAGA SARMENTOSA (SAXIFRAGA STOLONIFERA) EXTRACT,1,LOW,LOW,LOW,LOW,
STEAROYL GLUTAMATE,1,LOW,LOW,LOW,LOW,
TRITICUM VULGARE (WHEAT) GERM ACID,1,LOW,LOW,LOW,LOW,
WHEATGERMAMIDOPROPYL ETHYLDIMONIUM ETHOSULFATE,4,LOW,HIGH,LOW,LOW,"Neurotoxicity (low), Endocrine disruption (low), and Non-reproductive organ system toxicity (moderate)"
BASIC RED 2,4,LOW,LOW,LOW,HIGH,Use restrictions (high)
BRASSICA RAPA (TURNIP) ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
GELATIN/ KERATIN AMINO ACIDS/ LYSINE HYDROXYPROPYLTRIMONIUM CHLORIDE,1,LOW,LOW,LOW,LOW,
HC BLUE NO. 12,1,LOW,MODERATE,LOW,MODERATE,"Use restrictions (moderate), Ecotoxicology (low), and Occupational hazards (high)"
INDIGOFERA TINCTORIA LEAF,1,LOW,LOW,LOW,LOW,
ISOSTEARETH-20,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
JUNIPERUS OXYCEDRUS,1,LOW,LOW,LOW,LOW,
M-AMINOPHENOL SULFATE,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
MICHELIA ALBA LEAF OIL,1,LOW,LOW,LOW,LOW,
PEG-30 GLYCERYL COCOATE,1,LOW,LOW,LOW,LOW,"Enhanced skin absorption, Use restrictions (low), Non-reproductive organ system toxicity (low), and Contamination concerns (high)"
PEG-40 SORBITAN STEARATE,2,LOW,MODERATE,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
PEG-75 MEADOWFOAM OIL,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
PINUS PALUSTRIS WOOD TAR,1,LOW,LOW,LOW,LOW,
SODIUM COCOYL COLLAGEN AMINO ACIDS,1,LOW,LOW,LOW,LOW,Use restrictions (low)
SPINACIA OLERACEA (SPINACH),1,LOW,LOW,LOW,LOW,
MARJORAM OIL,1,LOW,LOW,LOW,LOW,
ACETYLSALICYLIC ACID,6,LOW,LOW,MODERATE,HIGH,Use restrictions (high) and Persistence and bioaccumulation (moderate)
DIMETHYL BENZYL CARBINYL ACETATE,1,LOW,LOW,LOW,LOW,
SCUTELLARIA BAICALENSIS EXTRACT,1,LOW,LOW,LOW,LOW,
AMMONIUM,1,LOW,LOW,LOW,LOW,
C12-18 ALKYL GLUCOSIDE,2,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
COMMIPHORA MYRRHA LEAF CELL EXTRACT,1,LOW,LOW,LOW,LOW,
PHORMIUM TENAX SEED OIL,1,LOW,LOW,LOW,LOW,
POMADERRIS KUMERAHOU EXTRACT,1,LOW,LOW,LOW,LOW,
